AISHE Code,Name,State,District,City,Website,Year ,Location,Type,Management,University,Category,Email,Phone No
,"Sri Sai College of Education, Dornala",Andhra Pradesh,Prakasam,,www.srisaibeddornala.in,,,tech,,,,,
,"B. G. College of Education, Piduguralla",Andhra Pradesh,Palnadu,,www.bgedn.com,,,tech,,,,,
,Aditya Degree College TPG,Andhra Pradesh,West Godavari,,www.aditya.ac.in/degree,,,tech,,,,,
,"Shaida College of Education, Plot No 259/1C, Darsi, Prakasam District",Andhra Pradesh,Prakasam,,www.smeducationalsociety.com,,,tech,,,,,
,"Victory Degree College, Narsaraopeta",Andhra Pradesh,Guntur,,www.victorydegreecollegenrt.com,,,tech,,,,,
,SIDDAMURTHY MALLIKHARJUNA REDDY COLLGE OF PHYSICAL EDUCATION,Andhra Pradesh,Prakasam,,-,,,tech,,,,,
,"Bellamkonda Degree College, C.S. Puram.",Andhra Pradesh,Prakasam,,WWW.BITSPODILI.COM,,,tech,,,,,
,"Basi Reddy Memorial Degree College, Nandikotkur",Andhra Pradesh,Kurnool,,https://brmdcndk.org,,,tech,,,,,
,"Sri Lakshmi Venkateswara College of  Education, Kurnool",Andhra Pradesh,Kurnool,,www.slvceknl.com,,,tech,,,,,
,St. Marys College for PG Courses,Andhra Pradesh,East Godavari,,www.stmarys-college.com,,,tech,,,,,
,"B.T. Government Degree College, Madanapalli",Andhra Pradesh,Annamayya,,www.btgdcmpl.ac.in,,,tech,,,,,
,"Government Degree College, Yeleswaram",Andhra Pradesh,Kakinada,,www.gdcyeleswaram.ac.in,,,tech,,,,,
,SRI Y.N. COLLEGE OF EDUCATION,Andhra Pradesh,West Godavari,,www.sriyncollege.org,,,tech,,,,,
,FERGUSSON CENTRE FOR HIGHER LEARNING,Andhra Pradesh,Tirupati,,https://fchl.org.in/,,,tech,,,,,
,"Annamacharya Institute of Technology & Sciences,Tirupati",Andhra Pradesh,Tirupati,,www.aits-tpt.edu.in,,,tech,,,,,
,"BR INSTITUTE OF TECHNOLOGY AND MANAGEMENT SCIENCES, YANAMADALA, GUNTUR DISTRICT",Andhra Pradesh,Guntur,,http://britms.in/,,,mgt,,,,,
,"B.M.Degree College, P.Dornala",Andhra Pradesh,Prakasam,,WWW.BMDCDORNALA.IN,,,tech,,,,,
,GOOD WILL DEGREE COLLEGE B KOTHAKOTA,Andhra Pradesh,Chittoor,,www.gwdcbkk.com,,,tech,,,,,
,VISHWA HITHA DEGREE COLLEGE MADANAPALLE,Andhra Pradesh,Chittoor,,www.vishwahitha.in,,,tech,,,,,
,VIKAS DEGREE COLLEGE FOR WOMEN,Andhra Pradesh,East Godavari,,vikasedu.info,,,tech,,,,,
,Sri Ravi Degree College,Andhra Pradesh,Kakinada,,www.sriravicolleges.in,,,tech,,,,,
,SPY Reddy College for Women,Andhra Pradesh,Kurnool,,www.spyreddycolleges.com,,,tech,,,,,
,"Alpha College of Education, Kanigiri",Andhra Pradesh,Prakasam,,www.alphagroup.in,,,tech,,,,,
,"Acharya College of Education, Kagithalagudem Village, Cumbum, Prakasam Dsitrict",Andhra Pradesh,Prakasam,,www.acharyacollegeofeducation.in,,,tech,,,,,
,"Sri Gayatri Vidya Parishad Degree College, Kandukuru",Andhra Pradesh,Prakasam,,www.sgvpeducationalinstitutions.com ,,,tech,,,,,
,"N S Raju Institute of Engineering & Technology, Visakhapatnam",Andhra Pradesh,Visakhapatnam,,www.nsriet.edu.in,,,tech,,,,,
,"Avanthi Institute of Engineering & Technology, Tamaram Village, Makavarapalem mandal, Narsipatnam , Pin-531113. (CC-81)",Andhra Pradesh,Visakhapatnam,,www.avanthienggcollege.ac.in,,,tech,,,,,
,DR PENUBALA CHANDRASEKHAR AND GEETHADEVI DEGREE COLLEGE,Andhra Pradesh,Tirupati,,WWW.drpcgdegreecollege.in,,,tech,,,,,
,Global College of Engineering & Technology,Andhra Pradesh,Y.S.R. Kadapa,,www.glbc.ac.in,,,tech,,,,,
,"Visakha Institute of Management Science, Bodamettapalem (V), Dakamarri, Bheemunipatnam (M), 531162 (CC-8M)",Andhra Pradesh,Visakhapatnam,,www.vimsvizag.com,,,mgt,,,,,
,"Visakha Institute of Engineering & Technology, 57th Division,  Narava,  PIN- 530027(CC-NT)",Andhra Pradesh,Visakhapatnam,,www.viet.edu.in,,,tech,,,,,
,"Vignan's Institute of Information Technology, Beside VSEZ, Duvvada, Gajuwaka,Vadlapudi (P.O)Pin-530049  (CC-L3)",Andhra Pradesh,Visakhapatnam,,www.vignaniit.edu.in,,,tech,,,,,
,"Sri Venkateswara College of Engineering And Technology, Nh-5, Etcherla, PIN-532402 (CC-MT)",Andhra Pradesh,Srikakulam,,www.svcet.net,,,tech,,,,,
,"Sri Sivani College of Engineering, Chilakapalem Junction, Etcherla Mandal,  PIN-532402 (CC-W6)",Andhra Pradesh,Srikakulam,,www.srisivani.com,,,tech,,,,,
,"Sai Ganapathi Engineering College for Women, Gidijala, Anandapuram (M),  PIN-531173 (CC-6F)",Andhra Pradesh,Visakhapatnam,,www.saiganapathi.com,,,tech,,,,,
,"Miracle Educational Society Group of Institutions, Miracle City, Bhogapuram Mandal PIN-535216, (CC-6C)",Andhra Pradesh,Vizianagaram,,www.miracle.edu.in,,,tech,,,,,
,"Maharaj Vijayaram Gajapathi Raj College of Engineering, Chintalavalasa, Vizianagaram-535005 (CC-33)",Andhra Pradesh,Vizianagaram,,www.mvgrce.edu.in,,,tech,,,,,
,"Lendi Institute of Engineering & Technology, Jonnada (V), Denkada mandal, PIN- 535005 (CC-KD)",Andhra Pradesh,Vizianagaram,,www.lendi.org,,,tech,,,,,
,"Gonna Institute of Information Technology & Science, Gonnavanipalem, Aganampudi, Ward No. 56, G.V.M.C, PIN- 530046 (CC-6E)",Andhra Pradesh,Visakhapatnam,,www.giits.in,,,tech,,,,,
,GMR Institute of Technology (GMRIT),Andhra Pradesh,Vizianagaram,,www.gmrit.edu.in,,,tech,,,,,
,"AVANTHI'S ST.THERESSA INSTITUTE OF ENGINEERING & TECHNOLOGY, Garbham Road, Garividi Village, Garividi Mandal, PIN -535101 (CC 99)",Andhra Pradesh,Vizianagaram,,http://avanthi.edu.in/sttheressa/,,,tech,,,,,
,"Avanthi's Research & Technological Academy, Basavapalem (V), Bhogapuram(M),  PIN-500034 (CC-HQ)",Andhra Pradesh,Vizianagaram,,www.arta.ac.in/,,,tech,,,,,
,"ADITYA INSTITUTE OF TECHNOLOGY & MANAGEMENT, K.Kothuru, Tekkali - 532201, Srikakulam District, A.P(CC-A5)",Andhra Pradesh,Srikakulam,,www.adityatekkali.edu.in,,,mgt,,,,,
,"Govt.Degree College, Salur",Andhra Pradesh,Parvathipuram Manyam,,www.gdcsalur.ac.in,,,tech,,,,,
,"KLR COLLEGE OF EDUCATION,GIDDALUR",Andhra Pradesh,Prakasam,,www.klredugdlr.ac.in,,,tech,,,,,
,"GIDEONS COLLEGE OF EDUCATION, GIDDALURU",Andhra Pradesh,Prakasam,,www.gideonsedugdlr.ac.in,,,tech,,,,,
,INDIRADEVI COLLEGE OF EDUCATION,Andhra Pradesh,Eluru,,www.indiradevicollegeofeducation.in,,,tech,,,,,
,"SRI BALAJI COLLEGE OF EDUCATION, KANIGIRI",Andhra Pradesh,Prakasam,,www.sbd.org,,,tech,,,,,
,"SRI BALAJI PHYSICAL EDUCATION, KANIGIRI",Andhra Pradesh,Prakasam,,www.sribalajieducationalsociety.org,,,tech,,,,,
,"SRI VENKATA RAMANA COLLEGE OF EDUCATION,GURAZALA",Andhra Pradesh,Guntur,,http://www.svrceducation.com/,,,tech,,,,,
,"MVR Degree College, H.No: 6-1, Sai Nagar, Gangavaram,  Chittoor Dist.Rural",Andhra Pradesh,Chittoor,,MVRINSTITUIONS.EDU.IN,,,tech,,,,,
,S.L.G.Degree College,Andhra Pradesh,Vizianagaram,,slgdegreecollege.org,,,tech,,,,,
,College of Science & Technology,Andhra Pradesh,Visakhapatnam,,www.andhrauniversity.edu.in,,,tech,,,,,
,R K DEGREE COLLEGE,Andhra Pradesh,Chittoor,,WWW.RKCOLLEGES.COM,,,tech,,,,,
,"G.V.R & S College of Education, Guntur",Andhra Pradesh,Guntur,,www.gvrsedn.com,,,tech,,,,,
,"S.V Degree College Kothapalle Mitta SR Puram(M), Chittoor Dist",Andhra Pradesh,Chittoor,,www.svkpmita.com,,,tech,,,,,
,"Akshara College of Education, Pamur, Prakasam District",Andhra Pradesh,Prakasam,,www.aksharabed.org,,,tech,,,,,
,Sri Vidya Degree College,Andhra Pradesh,Visakhapatnam,,www.srividyadegreecollege.edu.in,,,tech,,,,,
,"Bapatla Women's Engineering College, Bapatla",Andhra Pradesh,Guntur,,www.bwecbapatla.in,,,tech,,,,,
,SRI SAI DEGREE COLLEGE CHITVEL,Andhra Pradesh,Y.S.R. Kadapa,,-,,,tech,,,,,
,BHEEMESWAR DEGREE COLLEGE PUTHALAPATTU,Andhra Pradesh,Chittoor,,www.rvsdc.org,,,tech,,,,,
,"Allagadda Inst. Of Management & Science (PG), Allagadda",Andhra Pradesh,Kurnool,,-,,,mgt,,,,,
,AVANTHI DEGREE AND PG COLLEGE,Andhra Pradesh,East Godavari,,WWW.AVANTHIDEGREECOLLEGE.COM,,,tech,,,,,
,"GOVERNMENT DEGREE COLLEGE, PONDURU",Andhra Pradesh,Srikakulam,,ponduru.jkc@gmail.com,,,tech,,,,,
,"GOVERNMENT DEGREE COLLEGE, Nakkapalli",Andhra Pradesh,Anakapalli,,gdcnakkapalli.edu.in,,,tech,,,,,
,"St.Marys PG College, Buchireddipalem",Andhra Pradesh,Sri Potti Sriramulu Nellore,,www.stmce.org/degree,,,tech,,,,,
,"Swarnandhra College of Engineering & Technology, Narasapur. PIN -534275  (CC-A2)",Andhra Pradesh,West Godavari,,www.swarnandhra.ac.in,,,tech,,,,,
,DR K V SUBBA REDDY INSTITUTE OF MANAGEMENT,Andhra Pradesh,Kurnool,,www.drkvsmba.in,,,mgt,,,,,
,SREE VENKATESWARA COLLEGE OF ENGINEERING,Andhra Pradesh,Sri Potti Sriramulu Nellore,,www.svcn.ac.in,,,tech,,,,,
,Maharajah's college (Autonomous),Andhra Pradesh,Vizianagaram,,www.mracollegevzm.com,,,tech,,,,,
,ADITYA DEGREE COLLEGE BVM,Andhra Pradesh,West Godavari,,www.aditya.ac.in,,,tech,,,,,
,"University College of Engineering, Kakinada (AUTONOMOUS)",Andhra Pradesh,East Godavari,,www.jntucek.ac.in,,,tech,,,,,
,SRI CHINTALAPATI VARAPRASADA MURTHY RAJU GOVERNMENT DEGREE COLLEGE ,Andhra Pradesh,Eluru,,https://gdcganapavaram.ac.in/,,,tech,,,,,
,"Rohini Degree College, Chilakaluripet, Guntur District",Andhra Pradesh,Guntur,,www.rohinideg.com,,,tech,,,,,
,S.V.R. Government Degree College,Andhra Pradesh,East Godavari,,www.svrkgdc.ac.in,,,tech,,,,,
,"S.V.A Govt. College, Srikalahasti",Andhra Pradesh,Tirupati,,www.svagovtcm.ac.in,,,tech,,,,,
,"Sri Vivekananda B.P.Ed College, Ramayanakandrika Village, Madireddy Palem Village, Prakasam District",Andhra Pradesh,Prakasam,,www.svbpedcollege.in,,,tech,,,,,
,"Govt. Degree College, Srisailam",Andhra Pradesh,Nandyal,,gdcsrisailam.ac.in,,,tech,,,,,
,"Govt. Degree College, Banganapalli",Andhra Pradesh,Nandyal,,www.gdcbpl.org,,,tech,,,,,
,"Govt. Degree College, Dhone (GVRS)",Andhra Pradesh,Nandyal,,https://www.gdcdhone.ac.in/,,,tech,,,,,
,"PSC & KVSC Govt. Degree,",Andhra Pradesh,Nandyal,,www.gdcnandyal.ac.in,,,tech,,,,,
,"Govt. Degree College, Nandikotkur",Andhra Pradesh,Nandyal,,www.gdcndk.edu.in,,,tech,,,,,
,"Govt. Degree College, Atmakur",Andhra Pradesh,Nandyal,,www.gdcatmk.in,,,tech,,,,,
,Social Welfare Residential Govt.Degree College for Girls,Andhra Pradesh,Annamayya,,www.swrgdckalikiri.ac.in,,,tech,,,,,
,SKR Government Degree College (Women),Andhra Pradesh,East Godavari,,www.skrgdcwrjy.ac.in,,,tech,,,,,
,"Nannapaneni Venkat Rao (NVR) College of Engineering & Technology, NVR Nagar, Ithanagar, Tenali, PIN-522501(CC-7T)",Andhra Pradesh,Guntur,,www.nannapaneni.in,,,tech,,,,,
,"Nova College of Engineering & Technology, Vegavaram, Jangareddigudem Mandal,PIN- 534447(CC-A0)",Andhra Pradesh,West Godavari,,www.nova.ac.in,,,tech,,,,,
,"Andhra Loyola Institute of Engineering & Technology, Polytechnic Post Office, Loyola Campus,Vijayawada, PIN-520008.  (CC-HP)",Andhra Pradesh,Krishna,,www.aliet.ac.in,,,tech,,,,,
,"RK College of Engineering, Navepothavaram(V),Kethanakonda, Ibrahimpatnam,PIN-521456,(CC-MC)",Andhra Pradesh,Krishna,,www.rkce.ac.in,,,tech,,,,,
,"DADI Institute of Engineering & Technology, Nh-5, Gavarapalem, Anakapalle-531002, (CC-U4)",Andhra Pradesh,Visakhapatnam,,www.diet.edu.in,,,tech,,,,,
,"BABA Institute of Technology & Science, P.M. Palem, Bakkannapalem Village,  Madhurawada, PIN-530048 (CC-NR)",Andhra Pradesh,Visakhapatnam,,www.bitsvizag.com,,,tech,,,,,
,"Chaitanya Engineering College, Chaitanya Valley, Kommadi, Madhurawada,Pin-530041(CC-L6)",Andhra Pradesh,Visakhapatnam,,www.cec.ac.in,,,tech,,,,,
,"Simhadri Educational Society Group of Institutions, Narapadu (V), Sabbavaram Mandal, Sabbavaram To Ankapalli Road, PIN- 531002 (CC-6J)",Andhra Pradesh,Visakhapatnam,,www.simhadhriedu.org,,,tech,,,,,
,"Velankini College of Education, Kandrika, Venkatachalam (M)Nellore Dist",Andhra Pradesh,Sri Potti Sriramulu Nellore,,www.velankannibedcollege.com,,,tech,,,,,
,"Vignan's Nirula Institute of Technology & Science for Women, Vign avenue, Palakaluru Road  , PIN-522 005(CC-NN)",Andhra Pradesh,Guntur,,www.vignannirula.org,,,tech,,,,,
,"Sri C.V. Raman College of Computer Science, Podili",Andhra Pradesh,Prakasam,,www.cvramanccs.com,,,tech,,,,,
,"SRI VENKATESWARA DEGREE COLLEGE, GURRAMKONDA",Andhra Pradesh,Chittoor,,www.svdcgurramkonda.co.in,,,tech,,,,,
,YSR ENGINEERING COLLEGE OF YVU,Andhra Pradesh,Y.S.R. Kadapa,,www.yogivemanauniversity.ac.in,,,tech,,,,,
,"Amrita Sai Institute of Science & Technology, Amrita Sai Nagar, Paritala (PO), Kanchikacherla (MD), PIN-521180  (CC-AJ)",Andhra Pradesh,Krishna,,www.amritasai.org.in,,,tech,,,,,
,"St. Ann's College of Engineering and Technology., Nayunipalli(V), Vetapalem(M), Chirala-523187,(CC-F0)",Andhra Pradesh,Prakasam,,www.sacet.ac.in,,,tech,,,,,
,"RISE Krishna Sai Gandhi Group of Institutions, Ongole",Andhra Pradesh,Prakasam,,www.risekrishnasaigandhi.edu.in,,,tech,,,,,
,"Dr.K.V.Subba Reddy Institute of Technology, Kurnool",Andhra Pradesh,Kurnool,,www.drkvsrit.ac.in,,,tech,,,,,
,"Vemu Institute of  Technology, Chittoor",Andhra Pradesh,Chittoor,,www.vemu.org,,,tech,,,,,
,"Siddharth Institute of Engineering & Technology, Puttur",Andhra Pradesh,Chittoor,,www.sietk.org,,,tech,,,,,
,ANDHRA ENGINEERING COLLEGE,Andhra Pradesh,Sri Potti Sriramulu Nellore,,www.aecn.in,,,tech,,,,,
,"RAJU COLLEGE OF EDUCATION, RAYACHOTY",Andhra Pradesh,Annamayya,,www.rajucollege.org.in,,,tech,,,,,
,"SRI KALYANI COLLEGE OF EDUCATION, CHINNARANGAPURAM, PULIVENDULA",Andhra Pradesh,Y.S.R. Kadapa,,www.srikalyani.org.in,,,tech,,,,,
,Viswam Engineering College,Andhra Pradesh,Chittoor,,www.viswamengg.in,,,tech,,,,,
,"COLLEGE OF VETERINARY SCIENCE, GARIVIDI",Andhra Pradesh,Vizianagaram,,https://svvu.edu.in/colleges/cvs-garividi/,,,tech,,,,,
,"Sri Vivekananda D.P.Ed College, Podili Village, Podili, Prakasam District",Andhra Pradesh,Prakasam,,www.svbpedcollege.in,,,tech,,,,,
,"A.B.R College of Education, Kanigiri",Andhra Pradesh,Prakasam,,www.abrcedu.com,,,tech,,,,,
,"Sri Vivekananda Degree College, Podili",Andhra Pradesh,Prakasam,,www.svdegreepdl.in,,,tech,,,,,
,RGUKT- NUZVID,Andhra Pradesh,Eluru,,https://rguktn.ac.in,,,tech,,,,,
,"Silver Jubilee College (PG), Kurnool",Andhra Pradesh,Kurnool,,https://www.sjgckurnool.edu.in/,,,tech,,,,,
,S S AND N AH POLYTECHNIC COLLEGE,Andhra Pradesh,Palnadu,,-,,,tech,,,,,
,Dr. K. V. Subba Reddy School of Business Management,Andhra Pradesh,Kurnool,,www.drkvsbschool.in,,,mgt,,,,,
,DBHPSabha Dr.M.S.College of education,Andhra Pradesh,Krishna,,-,,,tech,,,,,
,LEVAKU NARAPU REDDY COLLEGE OF EDUCATION,Andhra Pradesh,Y.S.R. Kadapa,,www.lnrbedkdp.org,,,tech,,,,,
,DR SAI KALESWAR MEMORIAL DEGREE COLLEGE,Andhra Pradesh,Y.S.R. Kadapa,,www.skmdegreecollege.org,,,tech,,,,,
,"Sri  Venkateswara  College of Engineering, Karakambadi Road, Tirupathi",Andhra Pradesh,Chittoor,,www.svcolleges.edu.in,,,tech,,,,,
,SITARAMA Degree college,Andhra Pradesh,Kakinada,,www.sitarama college.com,,,tech,,,,,
,"GAYATRI COLLEGE OF SCIENCE & MANAGEMENT, MUNASABPETA, SRIKAKULAM",Andhra Pradesh,Srikakulam,,www.guragadacollege.in,,,mgt,,,,,
,"Vikas Group of Institutions, Nunna, Vijayawada (Rural)",Andhra Pradesh,NTR,,https://vikasgroup.ac.in/,,,tech,,,,,
,"Vikrama Simhapuri University P.G.Center, Kavali",Andhra Pradesh,Sri Potti Sriramulu Nellore,,www.vsu.ac.in,,,tech,,,,,
,"JNTUA MBA, Anantapur",Andhra Pradesh,Ananthapuramu,,-,,,mgt,,,,,
,"MSR Degree College, Kavali",Andhra Pradesh,Sri Potti Sriramulu Nellore,,www.msrdegreecollege.com,,,tech,,,,,
,INSTITUTE OF ADVANCED STUDIES IN EDUCATION IASE,Andhra Pradesh,Visakhapatnam,,andhrauniversity.edu.in,,,tech,,,,,
,Purandeswari College Of Education,Andhra Pradesh,Vizianagaram,,www.purandareswaricollege.org,,,tech,,,,,
,"Pragathi Degree College, Kottavalasa, Vizianagaram",Andhra Pradesh,Vizianagaram,,https://pragathieducationalinstitutions.com/degree-p-g/,,,tech,,,,,
,A.Q.J. Centre for P.G. Studies,Andhra Pradesh,Visakhapatnam,,www.aqjpgstudies.org,,,tech,,,,,
,"SVCR Government Degree College, Palamaner   Rural",Andhra Pradesh,Chittoor,,https://gdcplnr.edu.in/,,,tech,,,,,
,"St. Johns College of Education, Eluru.",Andhra Pradesh,Eluru,,www.stjohnsbedcollege.org.in,,,tech,,,,,
,Gayatri Mahila Degree College,Andhra Pradesh,Vizianagaram,,www.gayatricollegeppm.org,,,tech,,,,,
,"V.T.J.M. & I.V.T.R. Degree College, Mangalagiri",Andhra Pradesh,Guntur,,www.vtjmandivtr.ac.in,,,tech,,,,,
,"Sanviya College of Education, Bapatla",Andhra Pradesh,Guntur,,https://seredbpt.com,,,tech,,,,,
,St. Johns College of Education,Andhra Pradesh,East Godavari,,stjohncollegeofeducation.org,,,tech,,,,,
,Sri Sai Kulwant Degree College,Andhra Pradesh,Visakhapatnam,,www.saikulwanth.com,,,tech,,,,,
,ST XAVIERS COLLEGE Jami,Andhra Pradesh,Vizianagaram,,WWW.STXAVIERSEDUCATIONALSOCIETY.ORG,,,tech,,,,,
,SRI KRISHNA DEGREE COLLEGE BONDAPALLI (V AND M),Andhra Pradesh,Vizianagaram,,www.srikrishnacollegegpm.com,,,tech,,,,,
,CHAITANYA COLLEGE OF EDUCATION,Andhra Pradesh,West Godavari,,www.maddalaeducationalsociety.com,,,tech,,,,,
,Gayatri College of Education,Andhra Pradesh,Vizianagaram,,www.gayatribedcollege.edu.in,,,tech,,,,,
,Maheswari College Of Education,Andhra Pradesh,Vizianagaram,,www.ugtmes.org,,,tech,,,,,
,Sri Kolla Appala Naidu College of Education,Andhra Pradesh,Vizianagaram,,http://www.skan.co.in/,,,tech,,,,,
,Pydah College (PG Courses),Andhra Pradesh,Visakhapatnam,,www.pydah.in,,,tech,,,,,
,Sree Kasyap Degree College,Andhra Pradesh,Visakhapatnam,,https://sreekasyapedu.com/,,,tech,,,,,
,"Sri Adi Narayana Mahila Kalasala, Anakapalle",Andhra Pradesh,Visakhapatnam,,www.samk.edu,,,tech,,,,,
,Atchuta Degree College,Andhra Pradesh,Visakhapatnam,,www.atchutadegreecollege.edu.in,,,tech,,,,,
,Vagdevi Degree College,Andhra Pradesh,Vizianagaram,,vagdeviinstitutions.com,,,tech,,,,,
,St.Ann's College for Women,Andhra Pradesh,Visakhapatnam,,http://stannscollegevizag.org,,,tech,,,,,
,M.S.R.S. Siddhardha Degree College,Andhra Pradesh,Visakhapatnam,,www.msrssiddhardhacollege.com,,,tech,,,,,
